Group_Variable,Outcome,Group,N,Mean,SD,SEM,95%_CI_Lower,95%_CI_Upper,Median,Q1,Q3,Min,Max
is_very_old,cathlab_to_balloon,is_very_old=0.0,1141,20.720,12.190,0.361,20.020,21.430,19.000,12.000,28.000,1.000,116.000
is_very_old,cathlab_to_balloon,is_very_old=1.0,65,21.580,11.090,1.376,18.890,24.280,20.000,14.000,29.000,1.000,55.000
is_very_old,diagnosis_to_balloon,is_very_old=0.0,512,56.340,21.690,0.958,54.470,58.220,54.000,42.000,68.000,8.000,160.000
is_very_old,diagnosis_to_balloon,is_very_old=1.0,28,65.460,27.260,5.152,55.370,75.560,62.000,48.750,75.500,30.000,168.000
is_very_old,diagnosis_to_cathlab,is_very_old=0.0,512,37.390,19.150,0.846,35.730,39.050,35.000,25.000,46.000,0.000,138.000
is_very_old,diagnosis_to_cathlab,is_very_old=1.0,28,43.610,19.700,3.724,36.310,50.910,40.500,30.750,51.500,20.000,120.000
is_very_old,fmc_to_balloon,is_very_old=0.0,1039,100.480,54.610,1.694,97.150,103.800,87.000,68.000,114.000,10.000,601.000
is_very_old,fmc_to_balloon,is_very_old=1.0,59,138.310,117.460,15.291,108.330,168.280,107.000,75.000,159.000,50.000,850.000
is_very_old,fmc_to_diagnosis,is_very_old=0.0,467,42.590,46.850,2.168,38.340,46.840,30.000,20.000,45.000,0.000,540.000
is_very_old,fmc_to_diagnosis,is_very_old=1.0,24,53.880,65.470,13.364,27.680,80.070,28.500,22.750,66.250,6.000,303.000
is_very_old,lvef,is_very_old=0.0,1115,48.780,12.260,0.367,48.060,49.500,48.000,40.000,58.000,15.000,78.000
is_very_old,lvef,is_very_old=1.0,57,39.350,10.410,1.378,36.650,42.050,40.000,35.000,45.000,10.000,70.000
is_very_old,pain_to_balloon,is_very_old=0.0,1122,241.120,167.920,5.013,231.300,250.950,184.000,131.250,293.500,48.000,1567.000
is_very_old,pain_to_balloon,is_very_old=1.0,65,304.880,185.450,23.002,259.790,349.960,238.000,170.000,384.000,91.000,850.000
is_very_old,pain_to_fmc,is_very_old=0.0,1021,141.580,153.970,4.819,132.140,151.030,90.000,44.000,180.000,0.000,1345.000
is_very_old,pain_to_fmc,is_very_old=1.0,59,160.290,162.490,21.155,118.820,201.750,111.000,49.000,217.000,0.000,648.000
is_very_old,pic_ck,is_very_old=0.0,1127,1960.000,1902.630,56.675,1848.920,2071.080,1343.000,640.500,2621.500,48.000,15686.000
is_very_old,pic_ck,is_very_old=1.0,59,1780.760,1510.730,196.680,1395.270,2166.260,1376.000,732.000,2544.500,59.000,7492.000
is_very_old,pic_ckmb,is_very_old=0.0,1123,209.290,193.280,5.768,197.990,220.600,157.000,75.500,277.000,10.000,2000.000
is_very_old,pic_ckmb,is_very_old=1.0,58,215.340,160.330,21.052,174.080,256.610,183.000,103.000,244.000,35.000,663.000
